volantino,insegna,categoria,prodotto,formato,quantita,unita,prezzo,prezzo_unita,dal,al,note
penny24,Penny,Verdura,Spinaci – Natura è,500 g,0.5,al kg,1.49,2.980,2026-09-24,2026-10-07,"Spinaci freschi in busta, coltivati in Italia."
penny24,Penny,Verdure surgelate,Cimette di rapa – Ortomio,450 g,0.45,al kg,2.39,5.311,2026-09-24,2026-10-07,"−20%, prima 2,99."
penny24,Penny,Verdure surgelate,Cuori di carciofo a spicchi – Ortomio,300 g,0.3,al kg,1.39,4.633,2026-09-24,2026-10-07,"−22%, prima 1,79."
penny24,Penny,Verdure surgelate,Minestrone Tradizione – Findus,700 g,0.7,al kg,1.99,2.843,2026-09-24,2026-10-07,"−28%, prima 2,79. Solo con la PENNY Card, senza tessera 2,79."
penny24,Penny,Vino,Chardonnay bianco,75 cl,0.75,al litro,1.69,2.253,2026-09-24,2026-10-07,"−15%, prima 1,99."
penny24,Penny,Vino,Lambrusco Reggiano amabile frizzante DOC,75 cl,0.75,al litro,1.69,2.253,2026-09-24,2026-10-07,"−15%, prima 1,99."
penny24,Penny,Vino,Prosecco Millesimato Asolo DOCG,75 cl,0.75,al litro,4.39,5.853,2026-09-24,2026-10-07,"−20%, prima 5,49."
penny24,Penny,Vino,Salice Salentino DOC,75 cl,0.75,al litro,1.99,2.653,2026-09-24,2026-10-07,"−20%, prima 2,49. Solo con la PENNY Card, senza tessera 2,49."
penny24,Penny,Vino,"Spumante Ribolla Gialla, 3 bottiglie","2,25 litri (3 × 75 cl, 2+1)",2.25,al litro,7.78,3.458,2026-09-24,2026-10-07,"Vale solo comprandone 3 (2+1 gratis): una sola costa 3,89."
penny24,Penny,Würstel,"Würstel Servelade – Sapor di Cascina, conf. 8 pezzi",800 g,0.8,al kg,3.99,4.987,2026-09-24,2026-10-07,"−16%, prima 4,79."
penny24,Penny,Yogurt,Kefir al mirtillo – Activia,280 g,0.28,al kg,0.99,3.536,2026-09-24,2026-10-07,È kefir da bere. Quantità limitata.
penny24,Penny,Yogurt,"Yogurt Mix, gusti assortiti – Müller",150 g,0.15,al kg,0.99,6.600,2026-09-24,2026-10-07,"−16%, prima 1,19. Solo con la PENNY Card, senza tessera 1,19."
penny24,Penny,Yogurt,"Yogurt intero alla frutta, gusti assortiti – Sapor di Cascina, conf. 8 pezzi",1 kg (8 × 125 g),1,al kg,2.29,2.290,2026-09-24,2026-10-07,"−16%, prima 2,75."
penny24,Penny,Yogurt,"Yogurt, gusti assortiti – Activia, conf. 4 pezzi",500 g (4 × 125 g),0.5,al kg,2.29,4.580,2026-09-24,2026-10-07,Quantità limitata.
eurospin24,Eurospin,Frutta,Avocado,200 g,0.2,al kg,0.99,4.950,2026-09-25,2026-09-27,"«Doppio weekend di follia», valido solo da venerdì 25 a domenica 27 settembre."
eurospin24,Eurospin,Manzo,Macinato sceltissimo di bovino adulto,al kg,1,al kg,12.99,12.990,2026-09-25,2026-09-27,"«Doppio weekend di follia», valido solo da venerdì 25 a domenica 27 settembre."
eurospin24,Eurospin,Mozzarella,"Mozzarella di Bufala Campana DOP, 3x100 g",300 g,0.3,al kg,2.49,8.300,2026-09-25,2026-09-27,"Prima 3,59. «Doppio weekend di follia», valido solo da venerdì 25 a domenica 27 settembre."
eurospin24,Eurospin,Pomodoro,Passata densa di pomodoro,700 g,0.7,al kg,0.79,1.129,2026-09-25,2026-09-27,"Prima 1,19. «Doppio weekend di follia», valido solo da venerdì 25 a domenica 27 settembre."
eurospin24,Eurospin,Ricotta,Mascarpone Cremoso,250 g,0.25,al kg,1.09,4.360,2026-09-25,2026-09-27,"Prima 1,69. «Doppio weekend di follia», valido solo da venerdì 25 a domenica 27 settembre."
eurospin24,Eurospin,Tonno,"Tonno all'olio vegetale, 4x80 g",320 g,0.32,al kg,2.19,6.844,2026-09-25,2026-09-27,"Prima 3,39. «Doppio weekend di follia», valido solo da venerdì 25 a domenica 27 settembre."
penny24,Penny,Acqua,"Acqua naturale – Sant'Anna, conf. 6 pezzi",12 litri (6 × 2 l),12,al litro,2.34,0.195,2026-09-25,2026-09-26,"−40%, prima 3,90. Solo con la PENNY Card, senza tessera 3,90. Solo venerdì 25 e sabato 26 settembre."
penny24,Penny,Bagnoschiuma,"Detergente intimo, fragranze assortite – Chilly",300 ml,0.3,al litro,3.49,11.633,2026-09-25,2026-09-26,"−28%, prima 4,89. Solo venerdì 25 e sabato 26 settembre."
penny24,Penny,Formaggio,Formaggio Gran Biraghi latte italiano – Biraghi,700 g,0.7,al kg,8.49,12.129,2026-09-25,2026-09-26,"−15%, prima 9,99. Formaggio duro tipo grana, non Grana Padano. Solo venerdì 25 e sabato 26 settembre."
penny24,Penny,Frutta,Limoni,1 kg,1,al kg,1.99,1.990,2026-09-25,2026-09-26,Solo venerdì 25 e sabato 26 settembre.
penny24,Penny,Olio di semi,Olio per friggere – Friol,2 litri,2,al litro,4.49,2.245,2026-09-25,2026-09-26,"−25%, prima 5,99. Solo venerdì 25 e sabato 26 settembre."
penny24,Penny,Salsiccia,"Salsiccia di pollo, tacchino e suino – Sapor di Cascina",450 g,0.45,al kg,1.99,4.422,2026-09-25,2026-09-26,"−33%, prima 2,99. Solo venerdì 25 e sabato 26 settembre."
aldi28,Aldi,Acqua,Acqua naturale Ecogreen – San Benedetto,"1,5 l",1.5,al litro,0.29,0.193,2026-09-28,2026-10-04,"−36%, prima 0,46."
aldi28,Aldi,Affettati,"Petto di pollo 10+, confezione doppia – Amadori",200 g (2 × 100 g),0.2,al kg,2.99,14.950,2026-09-28,2026-10-04,"Petto di pollo cotto al forno, a fette. Quantità limitata."
aldi28,Aldi,Asciugatutto,Asciugatutto Double Booster – Buffalo,2 rotoli (2 × 300 strappi),2,al rotolo,3.99,1.995,2026-09-28,2026-10-04,Quantità limitata.
aldi28,Aldi,Bibite,Aloe Vera drink al mango – Rio d'Oro,500 ml,0.5,al litro,0.99,1.980,2026-09-28,2026-10-04,Quantità limitata.
aldi28,Aldi,Bibite,"Bevanda alla frutta Zero ace, multifrutti o arancia rossa, conf. 2 pezzi – Derby Blue",600 ml (2 × 300 ml),0.6,al litro,1.00,1.667,2026-09-28,2026-10-04,Quantità limitata.
aldi28,Aldi,Bibite,"Monster Energy, gusti vari",500 ml,0.5,al litro,1.09,2.180,2026-09-28,2026-10-04,Quantità limitata.
aldi28,Aldi,Bibite,Original Taste – Coca-Cola,"1,75 l",1.75,al litro,1.49,0.851,2026-09-28,2026-10-04,Quantità limitata.
aldi28,Aldi,Birra,"Birra Strong 7,2% vol. – Bergkönig",500 ml,0.5,al litro,0.69,1.380,2026-09-28,2026-10-04,"−18%, prima 0,85."
aldi28,Aldi,Birra,Birra Super 9% vol. – Tennent's,440 ml,0.44,al litro,1.49,3.386,2026-09-28,2026-10-04,Quantità limitata.
aldi28,Aldi,Birra,"Gran Riserva bianca, doppio malto o rossa – Peroni",330 ml,0.33,al litro,0.99,3.000,2026-09-28,2026-10-04,Quantità limitata.
aldi28,Aldi,Biscotti,Biscotti Pan di Stelle – Mulino Bianco,700 g,0.7,al kg,2.99,4.271,2026-09-28,2026-10-04,"−25%, prima 3,99."
aldi28,Aldi,Biscotti,Biscotti ai cereali – Buon'Ora,250 g,0.25,al kg,0.89,3.560,2026-09-28,2026-10-04,"Prezzo fisso Aldi («dal nostro assortimento»), non un'offerta a tempo."
aldi28,Aldi,Biscotti,Biscotti riso e cornflakes o frutta – Gran Cereale,230 g,0.23,al kg,1.39,6.043,2026-09-28,2026-10-04,"Stesso prezzo per riso e cornflakes da 250 g: il conto è sulla frutta da 230 g, la confezione più piccola. Quantità limitata."
aldi28,Aldi,Biscotti,Biscotto proteico vegano gocce di cioccolato o doppio cioccolato – Multinorm,80 g,0.08,al kg,1.99,24.875,2026-09-28,2026-10-04,"Prezzo fisso Aldi («dal nostro assortimento»), non un'offerta a tempo."
aldi28,Aldi,Biscotti,Pastefrolle – Balocco,1 kg,1,al kg,2.69,2.690,2026-09-28,2026-10-04,Quantità limitata.
aldi28,Aldi,Bresaola,Bresaola punta d'anca – Il Tagliere del Re,80 g,0.08,al kg,1.99,24.875,2026-09-28,2026-10-04,"−24%, prima 2,65."
aldi28,Aldi,Caffè,Caffè Granaroma in grani – Caffè Vergnano 1882,1 kg,1,al kg,14.99,14.990,2026-09-28,2026-10-04,Quantità limitata.
aldi28,Aldi,Caffè,"Caffè classico – Splendid, conf. 4 pezzi",900 g (4 × 225 g),0.9,al kg,8.99,9.989,2026-09-28,2026-10-04,
aldi28,Aldi,Carta igienica,Carta igienica 3 veli – Kokett,10 rotoli,10,al rotolo,3.49,0.349,2026-09-28,2026-10-04,"Prezzo fisso Aldi («dal nostro assortimento»), non un'offerta a tempo."
aldi28,Aldi,Cereali,Extra Granola frutta e frutta secca – Kellogg's,375 g,0.375,al kg,2.79,7.440,2026-09-28,2026-10-04,Quantità limitata.
aldi28,Aldi,Cereali,Fiocchi di avena integrali bio – Fiorentini,350 g,0.35,al kg,0.99,2.829,2026-09-28,2026-10-04,Quantità limitata.
aldi28,Aldi,Cioccolato,Cioccolato al latte con nocciole intere – Choceur,100 g,0.1,al kg,1.35,13.500,2026-09-28,2026-10-04,"Prezzo fisso Aldi («dal nostro assortimento»), non un'offerta a tempo."
aldi28,Aldi,Cioccolato,Classico – Twix,500 g,0.5,al kg,4.49,8.980,2026-09-28,2026-10-04,Barrette di cioccolato. Quantità limitata.
aldi28,Aldi,Conserve,Cetrioli a fette per sandwich o per burger – American,"670 g, sgocciolato 360 g",0.36,al kg,1.69,4.694,2026-09-28,2026-10-04,Prezzo calcolato sul peso sgocciolato. Quantità limitata.
aldi28,Aldi,Conserve,Filetti di alici «le dolci» o «le marinate» – Mangiar Bene Rizzoli,60 g,0.06,al kg,2.79,46.500,2026-09-28,2026-10-04,"Stesso prezzo per «le dolci» da 70 g: il conto è sulle marinate da 60 g, la confezione più piccola. Nel banco frigo. Quantità limitata."
aldi28,Aldi,Conserve,"Filetti di sgombro all'olio, al naturale o piccanti – Delicius","125 g, sgocciolato 90 g",0.09,al kg,1.89,21.000,2026-09-28,2026-10-04,Prezzo calcolato sul peso sgocciolato. Quantità limitata.
aldi28,Aldi,Conserve,Insalata di mare – Almare Seafood,200 g,0.2,al kg,2.49,12.450,2026-09-28,2026-10-04,"Prezzo fisso Aldi («dal nostro assortimento»), non un'offerta a tempo."
aldi28,Aldi,Formaggio,Feta bio DOP – Bio Natura,200 g,0.2,al kg,2.49,12.450,2026-09-28,2026-10-04,Quantità limitata.
aldi28,Aldi,Formaggio,Formaggio italiano grattugiato – Granarolo,90 g,0.09,al kg,1.19,13.222,2026-09-28,2026-10-04,Quantità limitata.
aldi28,Aldi,Formaggio,Gouda bio a fette – Gut Bio,200 g,0.2,al kg,2.29,11.450,2026-09-28,2026-10-04,Quantità limitata.
aldi28,Aldi,Formaggio,Mini Crunchy – Leerdammer,150 g,0.15,al kg,1.99,13.267,2026-09-28,2026-10-04,Quantità limitata.
aldi28,Aldi,Formaggio,Scamorza affumicata – Milsani,300 g,0.3,al kg,1.99,6.633,2026-09-28,2026-10-04,"−13%, prima 2,29."
aldi28,Aldi,Formaggio,Spicchio Gran Biraghi – Biraghi,700 g,0.7,al kg,8.49,12.129,2026-09-28,2026-10-04,Quantità limitata.
aldi28,Aldi,Frutta,Mele Golden – I Colori del Sapore,al kg,1,al kg,0.99,0.990,2026-09-28,2026-10-04,"−50%, prima 1,99 al kg. Coltivate in Italia."
aldi28,Aldi,Frutta,Susine October Sun – I Colori del Sapore,al kg,1,al kg,1.99,1.990,2026-09-28,2026-10-04,"−33%, prima 2,99 al kg. Coltivate in Italia."
aldi28,Aldi,Frutta,Uva bianca senza semi – I Colori del Sapore,500 g,0.5,al kg,0.99,1.980,2026-09-28,2026-10-04,"−44%, prima 1,79. Coltivata in Italia."
aldi28,Aldi,Grana,"Grana Padano DOP a cubetti, stagionato 9 mesi – Primis",300 g,0.3,al kg,3.99,13.300,2026-09-28,2026-10-04,"−14%, prima 4,69."
aldi28,Aldi,Latte,Latte parzialmente scremato – Parmalat,1 l,1,al litro,0.89,0.890,2026-09-28,2026-10-04,Quantità limitata.
aldi28,Aldi,Lavastoviglie,Tabs lavastoviglie All in One Extra – Pril,76 pezzi,76,a lavaggio,9.79,0.129,2026-09-28,2026-10-04,Quantità limitata.
aldi28,Aldi,Lavatrice,"Detersivo lavatrice liquido muschio bianco, 60 lavaggi – Omino Bianco","2,4 litri",60,a lavaggio,4.79,0.080,2026-09-28,2026-10-04,Quantità limitata.
aldi28,Aldi,Legumi,Ceci in confezione mini – King's Crown,390 g (3 × 130 g),0.39,al kg,1.19,3.051,2026-09-28,2026-10-04,Prezzo calcolato sul peso sgocciolato. Quantità limitata.
aldi28,Aldi,Legumi,Ceci o fagioli rossi bio,"350 g, sgocciolato 220 g",0.22,al kg,0.99,4.500,2026-09-28,2026-10-04,"Prezzo calcolato sul peso sgocciolato; i ceci sgocciolati pesano un po' di più, qui il conto è sul peso più basso. Quantità limitata."
aldi28,Aldi,Legumi,"Edamame già pronti, cotti al vapore – Le Gusto",250 g,0.25,al kg,1.69,6.760,2026-09-28,2026-10-04,Quantità limitata.
aldi28,Aldi,Legumi,Lenticchie – Valfrutta,"570 g, sgocciolato 380 g",0.38,al kg,1.29,3.395,2026-09-28,2026-10-04,Prezzo calcolato sul peso sgocciolato. Quantità limitata.
aldi28,Aldi,Manzo,Roastbeef di bovino – Il Podere,300 g,0.3,al kg,5.49,18.300,2026-09-28,2026-10-04,"−15%, prima 6,49. È carne cruda da cuocere."
aldi28,Aldi,Marmellata,Confettura Zero zuccheri aggiunti fragole e fragoline di bosco – Zuegg,220 g,0.22,al kg,1.99,9.045,2026-09-28,2026-10-04,"−20%, prima 2,49."
aldi28,Aldi,Merendine,Brioss latte e cacao – Kinder,280 g,0.28,al kg,2.49,8.893,2026-09-28,2026-10-04,Quantità limitata.
aldi28,Aldi,Merendine,Croissant alla crema – Buon'Ora,500 g,0.5,al kg,1.79,3.580,2026-09-28,2026-10-04,"−18%, prima 2,19."
aldi28,Aldi,Merendine,Fiesta – Ferrero,360 g,0.36,al kg,2.99,8.306,2026-09-28,2026-10-04,"−18%, prima 3,69."
aldi28,Aldi,Merendine,Millefoglie snack nocciola o pistacchio – Matilde Vicenzi,125 g,0.125,al kg,1.19,9.520,2026-09-28,2026-10-04,Quantità limitata.
aldi28,Aldi,Merendine,Mini Tresor – Pan del Dì,20 g,0.02,al kg,0.39,19.500,2026-09-28,2026-10-04,Dal reparto panetteria. Quantità limitata.
aldi28,Aldi,Merendine,Nutella B-ready – Ferrero,132 g,0.132,al kg,1.99,15.076,2026-09-28,2026-10-04,"−20%, prima 2,49."
aldi28,Aldi,Merendine,Pandorì ripieno al latte – Bauli,178 g,0.178,al kg,1.99,11.180,2026-09-28,2026-10-04,Quantità limitata.
aldi28,Aldi,Merendine,Tartelle Cuor di Mela – Mulino Bianco,288 g,0.288,al kg,1.99,6.910,2026-09-28,2026-10-04,Quantità limitata.
aldi28,Aldi,Merluzzo,Bistecca di merluzzo grigliata al rosmarino e al limone – Frosta,250 g,0.25,al kg,3.59,14.360,2026-09-28,2026-10-04,"Surgelata, già grigliata. Quantità limitata."
aldi28,Aldi,Mortadella,"Mortadella Bologna IGP con pistacchio, confezione doppia – Regione che vai",300 g (2 × 150 g),0.3,al kg,2.69,8.967,2026-09-28,2026-10-04,"Confezione doppia: quella normale costa 1,55 per 150 g. Quantità limitata."
aldi28,Aldi,Mozzarella,Trecce di mozzarella – Regione che vai,200 g (2 × 100 g),0.2,al kg,1.69,8.450,2026-09-28,2026-10-04,Prezzo calcolato sul peso sgocciolato. Latte italiano. Quantità limitata.
aldi28,Aldi,Olio d'oliva,Olio extravergine di oliva Classico – Monini,1 l,1,al litro,5.99,5.990,2026-09-28,2026-10-04,"−31%, prima 8,79."
aldi28,Aldi,Pane,Cracker Protein-G – Galbusera,200 g,0.2,al kg,1.99,9.950,2026-09-28,2026-10-04,Quantità limitata.
aldi28,Aldi,Pane,Cracker Semplicissimi riso nero e semi di lino – Doria,245 g,0.245,al kg,1.69,6.898,2026-09-28,2026-10-04,Quantità limitata.
aldi28,Aldi,Pane,Crostini gusto mediterraneo – Panealba,100 g,0.1,al kg,0.79,7.900,2026-09-28,2026-10-04,Quantità limitata.
aldi28,Aldi,Pane,Cuor di Pane – Mulino Bianco,325 g,0.325,al kg,1.89,5.815,2026-09-28,2026-10-04,Pane in cassetta. Quantità limitata.
aldi28,Aldi,Pane,Gallette Veggie Mix – Fiorentini,120 g,0.12,al kg,1.49,12.417,2026-09-28,2026-10-04,Gallette di riso con verdure. Quantità limitata.
aldi28,Aldi,Pane,Grissini Rubatà – Derby,450 g,0.45,al kg,1.99,4.422,2026-09-28,2026-10-04,Quantità limitata.
aldi28,Aldi,Pane,Grissini rustici – La Cesta,300 g,0.3,al kg,1.19,3.967,2026-09-28,2026-10-04,Quantità limitata.
aldi28,Aldi,Pane,Pane ai 4 cereali affettato – La Cesta,500 g,0.5,al kg,1.65,3.300,2026-09-28,2026-10-04,"Prezzo fisso Aldi («dal nostro assortimento»), non un'offerta a tempo."
aldi28,Aldi,Pane,Pane proteico – Happy Harvest,250 g,0.25,al kg,1.59,6.360,2026-09-28,2026-10-04,
aldi28,Aldi,Pane,Piadina integrale – La Cesta,300 g,0.3,al kg,0.89,2.967,2026-09-28,2026-10-04,"Prezzo fisso Aldi («dal nostro assortimento»), non un'offerta a tempo."
aldi28,Aldi,Pane,Taralli classici – La Cesta,500 g,0.5,al kg,1.59,3.180,2026-09-28,2026-10-04,"Sono taralli. Prezzo fisso Aldi («dal nostro assortimento»), non un'offerta a tempo."
aldi28,Aldi,Patate,Patate gialle della Sila IGP – Regione che vai,"1,5 kg",1.5,al kg,1.99,1.327,2026-09-28,2026-10-04,"−33%, prima 2,99. Coltivate in Italia."
aldi28,Aldi,Patate,Patatine fritte – All Seasons,"2,5 kg",2.5,al kg,3.35,1.340,2026-09-28,2026-10-04,"Surgelate. Prezzo fisso Aldi («dal nostro assortimento»), non un'offerta a tempo."
aldi28,Aldi,Pesce,Trancio di pesce spada – Fiorital,170 g,0.17,al kg,3.49,20.529,2026-09-28,2026-10-04,"−22%, prima 4,49. Nel banco frigo."
aldi28,Aldi,Pizza,Pizza Margherita «La Bomba» con cornicione ripieno – Italpizza,440 g,0.44,al kg,2.99,6.795,2026-09-28,2026-10-04,Surgelata. Quantità limitata.
aldi28,Aldi,Pollo,Fusi di pollo – Il Podere,850 g,0.85,al kg,2.99,3.518,2026-09-28,2026-10-04,"−28%, prima 4,19. Carne italiana."
aldi28,Aldi,Pollo,Pollo in parti – Il Podere,al kg,1,al kg,3.99,3.990,2026-09-28,2026-10-04,Quantità limitata. Carne italiana.
aldi28,Aldi,Preparati,Cotolette di pollo XXL – Il Podere,800 g,0.8,al kg,2.99,3.738,2026-09-28,2026-10-04,"Confezione grande: quella normale costa 1,99 per 440 g. Quantità limitata. Carne italiana."
aldi28,Aldi,Preparati,Hamburger di equino – Il Podere,200 g (2 × 100 g),0.2,al kg,2.19,10.950,2026-09-28,2026-10-04,"−20%, prima 2,75."
aldi28,Aldi,Preparati,Polpette di suino – Il Podere,320 g,0.32,al kg,3.59,11.219,2026-09-28,2026-10-04,"Prezzo fisso Aldi («dal nostro assortimento»), non un'offerta a tempo."
aldi28,Aldi,Preparati,"Polpette di tacchino, pollo e suino XXL – Il Podere",360 g,0.36,al kg,2.49,6.917,2026-09-28,2026-10-04,"Confezione grande: quella normale costa 1,89 per 240 g. Quantità limitata. Carne italiana."
aldi28,Aldi,Preparati,Rollè di suino ripieno – Il Podere,700 g,0.7,al kg,3.99,5.700,2026-09-28,2026-10-04,"−38%, prima 6,49."
aldi28,Aldi,Prosciutto,Prosciutto cotto Alta Qualità – Negroni,120 g,0.12,al kg,1.99,16.583,2026-09-28,2026-10-04,Quantità limitata.
aldi28,Aldi,Prosciutto,"Prosciutto crudo, stagionatura minima 11 mesi – Il Tagliere del Re",150 g,0.15,al kg,1.99,13.267,2026-09-28,2026-10-04,"−27%, prima 2,75."
aldi28,Aldi,Prosciutto,"Speck delle Alpi, confezione doppia – Il Tagliere del Re",200 g (2 × 100 g),0.2,al kg,2.99,14.950,2026-09-28,2026-10-04,Quantità limitata.
aldi28,Aldi,Ricotta,Mascarpone – Bonlà,250 g,0.25,al kg,1.29,5.160,2026-09-28,2026-10-04,"−21%, prima 1,65. Latte italiano."
aldi28,Aldi,Ricotta,Ricottina al limone – Regione che vai,180 g,0.18,al kg,1.99,11.056,2026-09-28,2026-10-04,"Ricotta al limone, non semplice. Nel banco frigo. Quantità limitata."
aldi28,Aldi,Riso,Riso Arborio – I Colori del Sapore,1 kg,1,al kg,1.79,1.790,2026-09-28,2026-10-04,"−28%, prima 2,49. Riso italiano."
aldi28,Aldi,Riso,Risotto alla milanese o ai funghi porcini – Knorr,175 g,0.175,al kg,1.39,7.943,2026-09-28,2026-10-04,È un preparato per risotto. Quantità limitata.
aldi28,Aldi,Salame,Luganega stagionata – Salumificio Val Rendena,80 g,0.08,al kg,2.29,28.625,2026-09-28,2026-10-04,Quantità limitata.
aldi28,Aldi,Salmone affumicato,Salmone norvegese affumicato a fetta lunga – Gourmet,100 g,0.1,al kg,3.99,39.900,2026-09-28,2026-10-04,Quantità limitata.
aldi28,Aldi,Shampoo,"Shampoo, varianti diverse – Lacura",500 ml,0.5,al litro,1.99,3.980,2026-09-28,2026-10-04,"Prezzo fisso Aldi («dal nostro assortimento»), non un'offerta a tempo."
aldi28,Aldi,Sughi,"Pesto, gusti vari – Tigullio",185 g,0.185,al kg,1.89,10.216,2026-09-28,2026-10-04,Quantità limitata.
aldi28,Aldi,Suino,Braciole di lombo di suino – Il Podere,700 g,0.7,al kg,3.99,5.700,2026-09-28,2026-10-04,"−14%, prima 4,69. Carne italiana."
aldi28,Aldi,Tonno,"Tonno in olio d'oliva pescato a canna, conf. 4 pezzi – Rio Mare",320 g (4 × 80 g),0.32,al kg,5.39,16.844,2026-09-28,2026-10-04,Una lattina gratis: 4 al prezzo di 3. Peso non sgocciolato. Quantità limitata.
aldi28,Aldi,Verdura,Carote – I Colori del Sapore,1 kg,1,al kg,0.79,0.790,2026-09-28,2026-10-04,"−33%, prima 1,19. Coltivate in Italia."
aldi28,Aldi,Verdura,Poker di funghi tagliati – I Colori del Sapore,300 g,0.3,al kg,1.49,4.967,2026-09-28,2026-10-04,"−40%, prima 2,49. Coltivati in Italia."
aldi28,Aldi,Verdura,Tris di verdure o spinaci cotti – Good Choice,200 g (spinaci),0.2,al kg,1.89,9.450,2026-09-28,2026-10-04,"Verdure già cotte in vaschetta. Stesso prezzo per il tris da 220 g: qui il conto è sugli spinaci, il formato più piccolo. Prezzo fisso Aldi («dal nostro assortimento»), non un'offerta a tempo."
aldi28,Aldi,Verdure surgelate,Bastoncini di verdure – Primana,300 g,0.3,al kg,1.39,4.633,2026-09-28,2026-10-04,"Surgelati, impanati. Prezzo fisso Aldi («dal nostro assortimento»), non un'offerta a tempo."
aldi28,Aldi,Vino,Blanc de Blancs – Costellore,750 ml,0.75,al litro,2.69,3.587,2026-09-28,2026-10-04,"Spumante. Prezzo fisso Aldi («dal nostro assortimento»), non un'offerta a tempo."
aldi28,Aldi,Vino,Bonarda dell'Oltrepò Pavese DOC – Denovo,750 ml,0.75,al litro,1.79,2.387,2026-09-28,2026-10-04,"−25%, prima 2,39. Vino del mese."
aldi28,Aldi,Yogurt,"Granola Protein Snack, gusti vari – Milsani",185 g,0.185,al kg,1.35,7.297,2026-09-28,2026-10-04,"Yogurt proteico con granola. Prezzo fisso Aldi («dal nostro assortimento»), non un'offerta a tempo."
aldi28,Aldi,Yogurt,Kefir – Milsani,500 g,0.5,al kg,0.85,1.700,2026-09-28,2026-10-04,"È kefir da bere. Prezzo fisso Aldi («dal nostro assortimento»), non un'offerta a tempo."
aldi28,Aldi,Yogurt,"Skyr alla frutta, gusti vari – Milsani",150 g,0.15,al kg,0.89,5.933,2026-09-28,2026-10-04,"Prezzo fisso Aldi («dal nostro assortimento»), non un'offerta a tempo."
aldi28,Aldi,Yogurt,Skyr bianco – Milsani,500 g,0.5,al kg,1.99,3.980,2026-09-28,2026-10-04,
aldi28,Aldi,Yogurt,"Yogurt alla frutta – Yomo, conf. 8 pezzi",1 kg (8 × 125 g),1,al kg,2.59,2.590,2026-09-28,2026-10-04,Quantità limitata.
aldi28,Aldi,Yogurt,"Yogurt greco 0% di grassi caffè, pesca o vaniglia – Lyttos, conf. 3 pezzi",450 g (3 × 150 g),0.45,al kg,2.79,6.200,2026-09-28,2026-10-04,"Prezzo fisso Aldi («dal nostro assortimento»), non un'offerta a tempo."
eurospin24,Eurospin,Frutta,Arance Valencia,"1,5 kg",1.5,al kg,2.49,1.660,2026-09-28,2026-10-04,Vale solo dal 28 settembre al 4 ottobre.
eurospin24,Eurospin,Insalata,Insalata mista,200 g,0.2,al kg,0.79,3.950,2026-09-28,2026-10-04,Vale solo dal 28 settembre al 4 ottobre.
eurospin24,Eurospin,Verdura,Zucchine,al kg,1,al kg,1.29,1.290,2026-09-28,2026-10-04,Vale solo dal 28 settembre al 4 ottobre.
ipercoop24,Ipercoop,Latte,Latte microfiltrato parzialmente scremato o intero – Origine Coop,1 litro,1,al litro,1.19,1.190,2026-09-28,2026-10-04,"Vale solo dal 28 settembre al 4 ottobre, non per tutto il volantino. Latte 100% italiano."
lidl24,Lidl,Bibite,Regular – Coca-Cola,"4x0,5 litri",2,al litro,2.99,1.495,2026-09-28,2026-09-30,
lidl24,Lidl,Biscotti,Baiocchi al pistacchio – Mulino Bianco,168 g,0.168,al kg,1.99,11.845,2026-09-28,2026-09-30,
lidl24,Lidl,Biscotti,Nascondini – Mulino Bianco,600 g,0.6,al kg,2.99,4.983,2026-09-28,2026-09-30,
lidl24,Lidl,Caffè,Capsule A Modo Mio Crema&Gusto o Qualità Rossa – Lavazza,"540 g, 72 capsule",0.54,al kg,18.99,35.167,2026-09-28,2026-09-30,
lidl24,Lidl,Conserve,Olive verdi Manzanilla farcite con peperoni rossi o acciughe – Sol&Mar,"170 g, sgocciolati",0.17,al kg,1.49,8.765,2026-09-28,2026-09-30,
lidl24,Lidl,Conserve,Olive verdi spagnole denocciolate e marinate – Sol&Mar,150 g,0.15,al kg,2.29,15.267,2026-09-28,2026-09-30,
lidl24,Lidl,Dentifricio,Dentifricio White Now o Protect Plus – Mentadent,2x75 ml,0.15,al litro,3.85,25.667,2026-09-28,2026-09-30,
lidl24,Lidl,Formaggio,Formaggino Mio – Nestlé,125 g,0.125,al kg,1.39,11.120,2026-09-28,2026-09-30,
lidl24,Lidl,Frutta,Pere Var. Carmen,1 kg,1,al kg,1.79,1.790,2026-09-28,2026-09-30,"Con Lidl Plus. Senza tessera 2,49."
lidl24,Lidl,Frutta,Uva Red Globe,al kg,1,al kg,1.99,1.990,2026-09-28,2026-09-30,"Prima 2,99."
lidl24,Lidl,Insalata,Insalate Regionali alla lombarda o alla trentina – Bonduelle,130 g,0.13,al kg,2.29,17.615,2026-09-28,2026-09-30,"Con noci e mele o con miele e noci, non solo insalata in foglia."
lidl24,Lidl,Legumi,Ceci cotti – Sol&Mar,"400 g, sgocciolati",0.4,al kg,0.99,2.475,2026-09-28,2026-09-30,
lidl24,Lidl,Merendine,Magdalenas – Sol&Mar,615 g,0.615,al kg,2.89,4.699,2026-09-28,2026-09-30,
lidl24,Lidl,Pane,Grissini con semi di girasole – Sol&Mar,166 g,0.166,al kg,1.19,7.169,2026-09-28,2026-09-30,
lidl24,Lidl,Pane,Mini grissini al gusto di olive e rosmarino – Sol&Mar,110 g,0.11,al kg,1.29,11.727,2026-09-28,2026-09-30,
